iter	Passed	Remaining
293	540	1298
294	541	1294
295	542	1290
296	545	1290
297	547	1288
298	548	1285
299	549	1282
300	550	1278
301	551	1274
302	552	1271
303	553	1267
304	554	1264
305	556	1261
306	557	1258
307	559	1257
308	560	1254
309	562	1251
310	563	1247
311	564	1244
312	565	1241
313	566	1237
314	567	1234
315	568	1231
316	570	1229
317	572	1228
318	574	1225
319	575	1222
320	576	1218
321	577	1215
322	578	1212
323	579	1208
324	580	1205
325	581	1202
326	583	1199
327	585	1200
328	586	1197
329	588	1193
330	589	1190
331	590	1187
332	591	1184
333	592	1181
334	593	1178
335	595	1176
336	597	1174
337	599	1174
338	600	1171
339	601	1168
340	602	1165
341	604	1162
342	605	1159
343	606	1156
344	607	1153
345	608	1150
346	610	1149
347	612	1148
348	613	1145
349	614	1142
350	616	1138
351	617	1136
352	618	1133
353	619	1130
354	620	1127
355	621	1124
356	623	1122
357	625	1121
358	626	1119
359	628	1116
360	629	1113
361	630	1110
362	631	1107
363	632	1105
364	633	1102
365	634	1099
366	636	1098
367	638	1096
368	639	1094
369	640	1091
370	642	1089
371	643	1087
372	645	1084
373	646	1081
374	647	1079
375	649	1077
376	651	1076
377	652	1074
378	654	1071
379	655	1068
380	656	1066
381	657	1063
382	658	1060
383	659	1058
384	660	1055
385	662	1053
386	664	1052
387	665	1049
388	666	1047
389	667	1044
390	668	1041
391	670	1039
392	671	1036
393	672	1034
394	673	1031
395	674	1029
396	677	1028
397	678	1026
398	679	1024
399	681	1021
400	682	1018
401	683	1016
402	684	1013
403	685	1011
404	686	1008
405	687	1006
406	689	1004
407	691	1002
408	692	1000
409	693	997
410	694	994
411	695	992
412	696	989
413	697	987
414	698	984
415	699	982
416	701	980
417	703	979
418	708	983
419	714	986
420	719	990
421	725	993
422	731	997
423	736	999
424	741	1003
425	746	1006
426	751	1008
427	757	1012
428	762	1015
429	767	1017
430	773	1021
431	778	1024
432	784	1026
433	789	1029
434	794	1032
435	799	1034
436	804	1036
437	809	1039
438	815	1042
439	822	1047
440	828	1049
441	832	1050
442	835	1050
443	837	1049
444	840	1047
445	842	1046
446	845	1046
447	847	1043
448	849	1041
449	850	1039
450	852	1037
451	853	1034
452	854	1031
453	856	1029
454	858	1027
455	859	1024
456	860	1022
457	861	1019
458	862	1016
459	863	1013
460	864	1010
461	865	1007
462	866	1004
463	867	1002
464	869	1000
465	871	998
466	872	995
467	873	993
468	874	990
469	875	987
470	877	985
471	878	982
472	879	979
473	880	976
474	881	974
475	883	973
476	885	970
477	886	967
478	887	965
479	888	962
480	889	959
481	890	957
482	891	954
483	893	952
484	894	949
485	896	948
486	897	945
487	898	942
488	899	940
489	901	937
490	902	935
491	903	932
492	904	929
493	905	927
494	906	924
495	908	923
496	946	957
497	947	955
498	949	953
499	951	951
500	953	949
501	954	946
502	955	943
503	956	941
504	957	938
505	959	936
506	961	934
507	964	933
508	966	932
509	967	929
510	969	927
511	970	924
512	972	922
513	976	922
514	977	920
515	978	917
516	979	915
517	980	912
518	981	909
519	982	907
520	983	904
521	985	902
522	986	899
523	988	897
524	989	895
525	990	892
526	992	890
527	993	887
528	994	885
529	995	882
530	996	879
531	997	877
532	998	875
533	1000	872
534	1002	871
535	1003	868
536	1004	866
537	1005	863
538	1006	860
539	1007	858
540	1008	855
541	1009	853
542	1011	850
543	1012	848
544	1014	847
545	1015	844
546	1016	842
547	1018	839
548	1019	837
549	1020	834
550	1021	832
551	1022	829
552	1023	827
553	1024	824
554	1026	823
555	1028	821
556	1030	819
557	1031	816
558	1032	814
559	1033	812
560	1034	809
561	1035	807
562	1036	804
563	1038	802
564	1040	800
565	1042	799
566	1043	796
567	1044	794
568	1045	791
569	1046	789
570	1047	787
571	1048	784
572	1049	782
573	1051	780
574	1053	778
575	1055	776
576	1056	774
577	1057	772
578	1058	769
579	1059	767
580	1060	765
581	1062	762
582	1063	760
583	1064	758
584	1065	756
585	1067	754
586	1068	751
587	1069	749
588	1070	747
589	1071	744
590	1073	742
591	1074	740
592	1075	738
593	1076	735
594	1077	733
595	1079	731
596	1081	729
597	1082	727
598	1083	725
599	1084	723
600	1085	720
601	1086	718
602	1087	716
603	1088	713
604	1090	711
605	1092	710
606	1093	708
607	1095	705
608	1096	703
609	1097	701
610	1098	699
611	1099	696
612	1100	694
613	1101	692
614	1102	690
615	1104	688
616	1106	687
617	1108	685
618	1109	682
619	1110	680
620	1111	678
621	1112	676
622	1114	674
623	1115	671
624	1116	669
625	1118	668
626	1119	666
627	1120	664
628	1122	661
629	1123	659
630	1124	657
631	1125	655
632	1126	653
633	1127	650
634	1128	648
635	1130	646
636	1132	645
637	1133	643
638	1134	640
639	1135	638
640	1136	636
641	1137	634
642	1138	632
643	1139	630
644	1140	627
645	1142	626
646	1145	624
647	1146	622
648	1148	620
649	1149	618
650	1150	616
651	1151	614
652	1152	612
653	1153	610
654	1155	608
655	1157	606
656	1158	604
657	1159	602
658	1160	600
659	1161	598
660	1162	596
661	1164	594
662	1165	592
663	1166	590
664	1167	588
665	1169	586
666	1171	584
667	1172	582
668	1173	580
669	1174	578
670	1175	576
671	1176	574
672	1177	572
673	1179	570
674	1180	568
675	1182	566
676	1184	565
677	1185	563
678	1186	561
679	1188	559
680	1189	557
681	1190	555
682	1191	553
683	1192	551
684	1194	549
685	1196	547
686	1197	545
687	1199	543
688	1200	541
689	1201	539
690	1202	537
691	1203	535
692	1204	533
693	1205	531
694	1207	529
695	1210	528
696	1211	526
697	1212	524
698	1213	522
699	1214	520
700	1215	518
701	1216	516
702	1217	514
703	1219	512
704	1220	510
705	1222	508
706	1223	506
707	1224	504
708	1225	502
709	1226	501
710	1227	498
711	1228	497
712	1230	495
713	1231	493
714	1232	491
715	1234	489
716	1235	487
717	1237	485
718	1238	483
719	1239	481
720	1240	480
721	1242	478
722	1243	476
723	1244	474
724	1245	472
725	1247	470
726	1249	469
727	1250	467
728	1251	465
729	1252	463
730	1253	461
731	1254	459
732	1256	457
733	1257	455
734	1258	453
735	1260	452
736	1262	450
737	1263	448
738	1264	446
739	1265	444
740	1266	442
741	1267	440
742	1268	438
743	1269	436
744	1271	435
745	1273	433
746	1274	431
747	1275	429
748	1276	427
749	1277	425
750	1278	424
751	1280	422
752	1281	420
753	1282	418
754	1283	416
755	1285	414
756	1286	413
757	1288	411
758	1289	409
759	1290	407
760	1291	405
761	1292	403
762	1293	401
763	1294	399
764	1296	398
765	1297	396
766	1299	394
767	1300	392
768	1301	390
769	1302	389
770	1303	387
771	1304	385
772	1305	383
773	1307	381
774	1308	379
775	1310	378
776	1312	376
777	1313	374
778	1314	372
779	1315	371
780	1316	369
781	1318	367
782	1319	365
783	1320	363
784	1321	361
785	1323	360
786	1326	358
787	1327	357
788	1328	355
789	1329	353
790	1330	351
791	1331	349
792	1332	347
793	1333	346
794	1335	344
795	1337	342
796	1339	341
797	1340	339
798	1342	337
799	1343	335
800	1344	333
801	1345	332
802	1346	330
803	1347	328
804	1349	326
805	1367	329
806	1372	328
807	1377	327
808	1381	326
809	1387	325
810	1391	324
811	1396	323
812	1400	322
813	1404	320
814	1408	319
815	1414	318
816	1418	317
817	1421	316
818	1427	315
819	1431	314
820	1437	313
821	1439	311
822	1442	310
823	1445	308
824	1448	307
825	1450	305
826	1452	303
827	1454	302
828	1455	300
829	1457	298
830	1459	296
831	1461	295
832	1463	293
833	1464	291
834	1465	289
835	1466	287
836	1468	285
837	1469	284
838	1470	282
839	1471	280
840	1473	278
841	1475	276
842	1476	275
843	1477	273
844	1478	271
845	1480	269
846	1481	267
847	1482	265
848	1483	263
849	1485	262
850	1487	260
851	1489	258
852	1490	256
853	1492	255
854	1493	253
855	1494	251
856	1495	249
857	1496	247
858	1497	245
859	1499	244
860	1501	242
861	1502	240
862	1503	238
863	1505	236
864	1506	235
865	1507	233
866	1508	231
867	1509	229
868	1510	227
869	1511	225
870	1513	224
871	1515	222
872	1516	220
873	1517	218
874	1518	216
875	1520	215
876	1521	213
877	1522	211
878	1523	209
879	1524	207
880	1526	206
881	1528	204
882	1529	202
883	1530	200
884	1531	199
885	1533	197
886	1534	195
887	1535	193
888	1536	191
889	1537	190
890	1539	188
891	1541	186
892	1542	184
893	1543	183
894	1544	181
895	1545	179
896	1546	177
897	1547	175
898	1549	174
899	1550	172
900	1553	170
901	1554	168
902	1555	167
903	1556	165
904	1558	163
905	1559	161
906	1560	159
907	1561	158
908	1562	156
909	1564	154
910	1566	153
911	1567	151
912	1569	149
913	1570	147
914	1571	145
915	1572	144
916	1573	142
917	1574	140
918	1575	138
919	1577	137
920	1579	135
921	1581	133
922	1582	132
923	1583	130
924	1584	128
925	1585	126
926	1586	124
927	1587	123
928	1589	121
929	1591	119
930	1592	118
931	1594	116
932	1595	114
933	1596	112
934	1597	111
935	1598	109
936	1599	107
937	1600	105
938	1601	104
939	1603	102
940	1605	100
941	1607	98
942	1608	97
943	1609	95
944	1610	93
945	1611	91
946	1612	90
947	1613	88
948	1615	86
949	1617	85
950	1619	83
951	1620	81
952	1621	79
953	1622	78
954	1623	76
955	1624	74
956	1625	73
957	1626	71
958	1628	69
959	1630	67
960	1632	66
961	1633	64
962	1634	62
963	1635	61
964	1637	59
965	1638	57
966	1639	55
967	1645	54
968	1650	52
969	1655	51
970	1661	49
971	1666	48
972	1671	46
973	1677	44
974	1682	43
975	1689	41
976	1694	39
977	1700	38
978	1706	36
979	1709	34
980	1713	33
981	1715	31
982	1717	29
983	1719	27
984	1721	26
985	1724	24
986	1725	22
987	1727	20
988	1728	19
989	1729	17
990	1731	15
991	1732	13
992	1735	12
993	1736	10
994	1737	8
995	1738	6
996	1739	5
997	1740	3
998	1741	1
999	1742	0
